Project,Shape,Property Name,Property label,URI
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,ForeignCreatedOn,,http://jazz.net/ns/rm/dng/attribute#masterForeignCreatedOn,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,ForeignID,,http://jazz.net/ns/rm/dng/attribute#masterForeignId,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,ForeignModifiedBy,,http://jazz.net/ns/rm/dng/attribute#masterForeignModifiedBy,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,ForeignModifiedOn,,http://jazz.net/ns/rm/dng/attribute#masterForeignModifiedOn,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Gammalt ID (Utgår)',,https://trafikverket.se/rgv/attribute/gammaltid,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,Identifier,,dcterms:identifier,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Initial PHSLH',,https://clm.celeris.se/rm/types/AD_cc0D1UqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,--,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWFEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWFEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Certain,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWDUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWDUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Extremely Unlikely',https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWE0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWE0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Likely,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWDkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWDkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Somewhat Likely',https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Unlikely,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Very Likely',https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWD0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWD0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Very Unlikely',https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWDEqNEe-lXMAnwStbdQ#_cXvWEkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Initial POHS',,https://clm.celeris.se/rm/types/AD_cc0Dw0qNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,--,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQ0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQ0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Infrequent,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Intermittent,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMP0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMP0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Rare,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Reoccuring,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMPkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMPkqNEe-lXMAnwStbdQ
